cust_id,SV_withdrawal_avg_normalized,SV_deposit_avg_normalized,CC_avg_transaction_normalized,CC_avg_payment_normalized,CC_avg_cash_advance_normalized,SV_avg_bal_normalized,CC_avg_bal_normalized,SV_small_withdrawal_counts_normalized,SV_large_withdrawal_counts_normalized,SV_deposit_counts_normalized,CC_small_transaction_count_normalized,CC_large_transaction_count_normalized,CC_payment_count_normalized,CC_cash_advance_count_normalized
1362480,0.38870792616721000,0.2546333601933920,0.2983751846381090,0.049570692615913000,1.0,0.055542323631686800,0.16287579823491400,0.0,0.21052631578947400,0.30000000000000000,0.0,0.13636363636363600,1.0,0.018518518518518500
1362484,0.27904451682953300,0.13940370668815500,0.17134416543574600,0.052318259874069800,0.7000000000000000,0.04739675129805170,0.01973164956590370,0.1,0.15789473684210500,0.8500000000000000,0.43478260869565200,0.2545454545454550,1.0,0.018518518518518500
1362485,0.0,0.0,0.17429837518463800,0.05655409273039500,0.5700000000000000,0.0,0.04965200545311040,0.0,0.0,0.0,0.43478260869565200,0.36363636363636400,1.0,0.12962962962963000
1362486,0.09337676438653640,0.12087026591458500,0.0,0.0,0.0,0.006621254703948940,0.0,0.30000000000000000,0.3157894736842110,0.2,0.0,0.0,0.0,0.0
1362487,0.11834961997828400,0.0950846091861402,0.16986706056130000,0.04636519748139670,0.835,0.016910398704330000,0.05689890220276960,0.2,0.2631578947368420,0.05,0.2608695652173910,0.15454545454545500,0.3333333333333330,0.05555555555555560
1362488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362489,0.3431053203040170,0.2328767123287670,0.3737075332348600,0.09914138523182600,0.0,0.021721526223026700,0.17457128506852300,0.0,0.21052631578947400,0.15000000000000000,0.13043478260869600,0.1909090909090910,0.75,0.0
1362492,0.0,0.0,0.25258493353028100,0.06685746994848310,1.0,0.0,0.09959101671808850,0.0,0.0,0.0,0.17391304347826100,0.18181818181818200,0.3333333333333330,0.018518518518518500
1362496,0.0,0.0,0.0,0.0,0.0,0.011861096555994900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362497,0.10206297502714400,0.0846091861402095,0.0,0.0,0.0,0.00771685800028581,0.0,0.8,0.3684210526315790,0.4,0.0,0.0,0.0,0.0
1362498,0.0,0.0,0.0,0.0,0.0,0.1091792502262660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362499,0.0,0.0,0.2171344165435750,0.021064682312535800,0.0,0.0,0.1274305804692550,0.0,0.0,0.0,0.17391304347826100,0.13636363636363600,1.0,0.0
1362500,0.0,0.0,0.0,0.0,0.0,0.015910065259848500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362501,0.0,0.0,0.0,0.03194046937607330,0.0,0.0,0.04836047929970580,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1362502,0.10314875135722000,0.1200644641418210,0.0,0.0,0.0,0.03424951174200920,0.0,0.1,0.10526315789473700,0.25,0.0,0.0,0.0,0.0
1362503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362505,0.14332247557003300,0.0983078162771958,0.0,0.0,0.0,0.03777449626065830,0.0,0.2,0.47368421052631600,0.55,0.0,0.0,0.0,0.0
1362506,0.0,0.0,0.7252584933530280,0.11471093302804800,1.0,0.0,0.0749802683504341,0.0,0.0,0.0,0.0,0.18181818181818200,0.5,0.037037037037037000
1362507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362508,0.12920738327904500,0.145044319097502,0.19202363367799100,0.0839152833428735,0.41500000000000000,0.011575287000428700,0.07706106048647490,0.4,0.3684210526315790,0.4,0.5652173913043480,0.4727272727272730,1.0,0.1111111111111110
1362509,0.2214983713355050,0.1224818694601130,0.15952732644017700,0.1685174585002860,0.46,0.03434478159386460,0.11243452679916800,0.30000000000000000,0.5789473684210530,1.0,0.7826086956521740,0.4636363636363640,0.5,0.09259259259259260
1362510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362511,0.13137893593919700,0.1635777598710720,0.1536189069423930,0.061247853463079600,0.45,0.02396036774162820,0.03171414221137980,0.30000000000000000,0.5263157894736840,0.5,0.3913043478260870,0.24545454545454500,0.5,0.07407407407407410
1362512,0.13897937024972900,0.1410153102336830,0.276218611521418,0.008700629650829990,0.6,0.026151574334301900,0.07921360407548250,0.1,0.15789473684210500,0.45,0.043478260869565200,0.08181818181818180,1.0,0.037037037037037000
1362513,0.1476655808903370,0.1410153102336830,0.0,0.0,0.0,0.011051302815224100,0.0,0.2,0.3157894736842110,0.30000000000000000,0.0,0.0,0.0,0.0
1362516,0.0,0.0,0.25849335302806500,0.04258729250143100,0.0,0.0,0.03795651861950210,0.0,0.0,0.0,0.17391304347826100,0.20909090909090900,1.0,0.0
